Statistic,Rank,Player,Squad,Value
Performance-D,Top 3,Mark Flekken,Brentford,9.0
Performance-D,Bottom 1,Daniel Bentley,Wolves,0.0
Performance-D,Bottom 2,Ionuț Radu,Bournemouth,0.0
Performance-D,Bottom 3,Mark Travers,Bournemouth,0.0
Performance-L,Top 1,Thomas Kaminski,Luton Town,24.0
Performance-L,Top 2,Wes Foderingham,Sheffield Utd,22.0
Performance-L,Top 3,James Trafford,Burnley,20.0
Performance-L,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-L,Bottom 2,Caoimhín Kelleher,Liverpool,0.0
Performance-L,Bottom 3,Stefan Ortega,Manchester City,0.0
Performance-CS,Top 1,David Raya,Arsenal,16.0
Performance-CS,Top 2,Jordan Pickford,Everton,13.0
Performance-CS,Top 3,Bernd Leno,Fulham,10.0
Performance-CS,Bottom 1,Arijanet Muric,Burnley,0.0
Performance-CS,Bottom 2,Ionuț Radu,Bournemouth,0.0
Performance-CS,Bottom 3,Ivo Grbić,Sheffield Utd,0.0
Performance-CS%,Top 1,Stefan Ortega,Manchester City,60.0
Performance-CS%,Top 2,David Raya,Arsenal,50.0
Performance-CS%,Top 3,Mark Travers,Bournemouth,50.0
Performance-CS%,Bottom 1,Arijanet Muric,Burnley,0.0
Performance-CS%,Bottom 2,Ionuț Radu,Bournemouth,0.0
Performance-CS%,Bottom 3,Ivo Grbić,Sheffield Utd,0.0
Penalty Kicks-PKatt,Top 1,Bernd Leno,Fulham,8.0
Penalty Kicks-PKatt,Top 2,Jordan Pickford,Everton,8.0
Penalty Kicks-PKatt,Top 3,José Sá,Wolves,8.0
Penalty Kicks-PKatt,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKatt,Bottom 2,Caoimhín Kelleher,Liverpool,0.0
Penalty Kicks-PKatt,Bottom 3,Daniel Bentley,Wolves,0.0
Penalty Kicks-PKA,Top 1,Bernd Leno,Fulham,8.0
Penalty Kicks-PKA,Top 2,Jordan Pickford,Everton,8.0
Penalty Kicks-PKA,Top 3,José Sá,Wolves,8.0
Penalty Kicks-PKA,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKA,Bottom 2,Caoimhín Kelleher,Liverpool,0.0
Penalty Kicks-PKA,Bottom 3,Daniel Bentley,Wolves,0.0
Penalty Kicks-PKsv,Top 1,Alphonse Areola,West Ham,2.0
Penalty Kicks-PKsv,Top 2,Arijanet Muric,Burnley,1.0
Penalty Kicks-PKsv,Top 3,David Raya,Arsenal,1.0
Penalty Kicks-PKsv,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKsv,Bottom 2,Alisson,Liverpool,0.0
Penalty Kicks-PKsv,Bottom 3,André Onana,Manchester Utd,0.0
Penalty Kicks-PKm,Top 1,Ivo Grbić,Sheffield Utd,1.0
Penalty Kicks-PKm,Top 2,Wes Foderingham,Sheffield Utd,1.0
Penalty Kicks-PKm,Top 3,Đorđe Petrović,Chelsea,1.0
Penalty Kicks-PKm,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKm,Bottom 2,Alisson,Liverpool,0.0
Penalty Kicks-PKm,Bottom 3,Alphonse Areola,West Ham,0.0
Penalty Kicks-Save%,Top 1,Robin Olsen,Aston Villa,100.0
Penalty Kicks-Save%,Top 2,Arijanet Muric,Burnley,50.0
Penalty Kicks-Save%,Top 3,David Raya,Arsenal,33.3
Penalty Kicks-Save%,Bottom 1,Alisson,Liverpool,0.0
Penalty Kicks-Save%,Bottom 2,André Onana,Manchester Utd,0.0
Penalty Kicks-Save%,Bottom 3,Bart Verbruggen,Brighton,0.0
90s,Top 1,André Onana,Manchester Utd,38.0
90s,Top 2,Bernd Leno,Fulham,38.0
90s,Top 3,Guglielmo Vicario,Tottenham,38.0
90s,Bottom 1,John Fleck,Sheffield Utd,1.0
90s,Bottom 2,Kalvin Phillips,Manchester City,1.0
90s,Bottom 3,Ivan Perišić,Tottenham,1.1
Standard-Gls,Top 1,Erling Haaland,Manchester City,27.0
Standard-Gls,Top 2,Cole Palmer,Chelsea,22.0
Standard-Gls,Top 3,Alexander Isak,Newcastle Utd,21.0
Standard-Gls,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-Gls,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-Gls,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Standard-Sh,Top 1,Erling Haaland,Manchester City,113.0
Standard-Sh,Top 2,Darwin Núñez,Liverpool,107.0
Standard-Sh,Top 3,Mohamed Salah,Liverpool,107.0
Standard-Sh,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-Sh,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-Sh,Bottom 3,Alisson,Liverpool,0.0
Standard-SoT,Top 1,Erling Haaland,Manchester City,50.0
Standard-SoT,Top 2,Phil Foden,Manchester City,48.0
Standard-SoT,Top 3,Mohamed Salah,Liverpool,47.0
Standard-SoT,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-SoT,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-SoT,Bottom 3,Adam Smith,Bournemouth,0.0
Standard-SoT%,Top 1,Amari'i Bell,Luton Town,100.0
Standard-SoT%,Top 2,Bénie Traoré,Sheffield Utd,100.0
Standard-SoT%,Top 3,Chris Mepham,Bournemouth,100.0
Standard-SoT%,Bottom 1,Adam Smith,Bournemouth,0.0
Standard-SoT%,Bottom 2,Adam Webster,Brighton,0.0
Standard-SoT%,Bottom 3,Andrew Omobamidele,Nott'ham Forest,0.0
Standard-Sh/90,Top 1,Enes Ünal,Bournemouth,6.31
Standard-Sh/90,Top 2,Julio Enciso,Brighton,5.31
Standard-Sh/90,Top 3,Kieffer Moore,Bournemouth,5.0
Standard-Sh/90,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-Sh/90,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-Sh/90,Bottom 3,Alisson,Liverpool,0.0
Standard-SoT/90,Top 1,Neal Maupay,Everton,3.24
Standard-SoT/90,Top 2,Matt Ritchie,Newcastle Utd,2.81
Standard-SoT/90,Top 3,Enes Ünal,Bournemouth,2.2
Standard-SoT/90,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-SoT/90,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-SoT/90,Bottom 3,Adam Smith,Bournemouth,0.0
Standard-G/Sh,Top 1,Hannibal Mejbri,Manchester Utd,1.0
Standard-G/Sh,Top 2,Tim Ream,Fulham,1.0
Standard-G/Sh,Top 3,Leander Dendoncker,Aston Villa,0.5
Standard-G/Sh,Bottom 1,Aaron Hickey,Brentford,0.0
Standard-G/Sh,Bottom 2,Aaron Ramsey,Burnley,0.0
Standard-G/Sh,Bottom 3,Aaron Wan-Bissaka,Manchester Utd,0.0
Standard-G/SoT,Top 1,Alfie Gilchrist,Chelsea,1.0
Standard-G/SoT,Top 2,Ben Mee,Brentford,1.0
Standard-G/SoT,Top 3,Calvin Bassey,Fulham,1.0
Standard-G/SoT,Bottom 1,Aaron Hickey,Brentford,0.0
Standard-G/SoT,Bottom 2,Aaron Ramsey,Burnley,0.0
Standard-G/SoT,Bottom 3,Aaron Wan-Bissaka,Manchester Utd,0.0
Standard-Dist,Top 1,Oliver Norwood,Sheffield Utd,32.9
Standard-Dist,Top 2,Kyle Walker,Manchester City,29.4
Standard-Dist,Top 3,Moisés Caicedo,Chelsea,29.0
Standard-Dist,Bottom 1,Tim Ream,Fulham,1.3
Standard-Dist,Bottom 2,Andrew Omobamidele,Nott'ham Forest,5.1
Standard-Dist,Bottom 3,Jonny Evans,Manchester Utd,5.4
Standard-FK,Top 1,James Ward-Prowse,West Ham,16.0
Standard-FK,Top 2,Julián Álvarez,Manchester City,13.0
Standard-FK,Top 3,Eberechi Eze,Crystal Palace,12.0
Standard-FK,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-FK,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-FK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Standard-PK,Top 1,Cole Palmer,Chelsea,9.0
Standard-PK,Top 2,Erling Haaland,Manchester City,7.0
Standard-PK,Top 3,Bukayo Saka,Arsenal,6.0
Standard-PK,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-PK,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-PK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Standard-PKatt,Top 1,Cole Palmer,Chelsea,9.0
Standard-PKatt,Top 2,Erling Haaland,Manchester City,8.0
Standard-PKatt,Top 3,Mohamed Salah,Liverpool,7.0
Standard-PKatt,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-PKatt,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-PKatt,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Expected-npxG/Sh,Top 1,Tim Ream,Fulham,0.96
Expected-npxG/Sh,Top 2,Shandon Baptiste,Brentford,0.45
Expected-npxG/Sh,Top 3,Leander Dendoncker,Aston Villa,0.37
Expected-npxG/Sh,Bottom 1,Benson Manuel,Burnley,0.02
Expected-npxG/Sh,Bottom 2,Charlie Taylor,Burnley,0.02
Expected-npxG/Sh,Bottom 3,George Baldock,Sheffield Utd,0.02
Expected-G-xG,Top 1,Phil Foden,Manchester City,8.7
Expected-G-xG,Top 2,Callum Hudson-Odoi,Nott'ham Forest,5.3
Expected-G-xG,Top 3,Jean-Philippe Mateta,Crystal Palace,5.1
Expected-G-xG,Bottom 1,Dominic Calvert-Lewin,Everton,-5.9
Expected-G-xG,Bottom 2,Brennan Johnson,Tottenham,-5.3
Expected-G-xG,Bottom 3,Darwin Núñez,Liverpool,-5.3
Expected-np:G-xG,Top 1,Phil Foden,Manchester City,8.7
Expected-np:G-xG,Top 2,Callum Hudson-Odoi,Nott'ham Forest,5.3
Expected-np:G-xG,Top 3,Diogo Jota,Liverpool,4.7
